entity_type,entity,contact
provider,stripe,Ana Rivera (Stripe operations)
provider,adyen,Lucas Meyer (Adyen operations)
provider,mercadopago,Juan Tellez (MercadoPago operations)
provider,dlocal,Marta Souza (dLocal operations)
merchant,merch_globex,Diego Mora (PagoTotal merchant success)
merchant,merch_acme,Paula Restrepo (PagoTotal merchant success)
merchant,merch_umbrella,Nicolas Vargas (PagoTotal merchant success)
merchant,merch_initech,Sofia Cardenas (PagoTotal merchant success)
merchant,merch_stark,Tomas Aguirre (PagoTotal merchant success)
merchant,merch_wayne,Valentina Ortiz (PagoTotal merchant success)
bank,bbva,Carla Nunes (BBVA relationship manager)
bank,santander,Rodrigo Salas (Santander relationship manager)
bank,banorte,Elena Guzman (Banorte relationship manager)
bank,itau,Bruno Carvalho (Itau relationship manager)
bank,bradesco,Fernanda Lima (Bradesco relationship manager)
bank,nubank,Rafael Costa (Nubank relationship manager)
bank,bancolombia,Andres Gil (Bancolombia relationship manager)
bank,davivienda,Camila Rojas (Davivienda relationship manager)
